horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start,method_version
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.8746964007521774,4.063768303195452,29.945282391531787,0.752347161889694,0.0929120458282069,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.412492076097115,6.199227252795749,41.34947702991451,0.42387475902198846,0.4634894557172661,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.971012836333804,7.030073785513972,45.02255216804999,0.25824594490231745,0.5094289269185529,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.246459714134408,7.435026218488023,47.21190299037906,0.168276432058588,0.1961581916627009,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.747889997360667,8.438451956169745,49.90650412200094,-0.07117076575135917,0.20088855066129216,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.878549404977621,4.135577641437296,30.536210020559977,0.743517469634832,-0.05899016808935597,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.2073659179951886,5.9618169309504685,40.198351775437075,0.46715725044989076,-0.3188159190875828,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.59934002041709,6.7047067203192094,42.302510210415285,0.3253170521696491,-0.45959059036375977,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,4.8999584316695595,7.261686564074054,44.34610631569734,0.20660584190363895,-0.7627198831048208,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.1420048373428555,7.750387548966313,46.39590100159438,0.09639216881046297,-0.9579080513818632,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,3.107455875296642,4.423324894376553,32.10569673213302,0.7065844599989721,0.0719241611757162,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.184633878381124,6.0090946393815035,39.572486128300646,0.4586727665639747,-0.06528698354353477,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.6803879927226015,6.7327663500606665,43.11180357513397,0.3196580520170553,-0.10942535096845958,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,4.9097030247248945,7.075878139782774,44.73568914222051,0.2466883409135282,-0.10678639222581193,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.126046099813072,7.638983787636865,46.52847528944873,0.12218231954735825,-0.8070712735331872,lstm,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,4.7477129239573825,7.224630817482288,42.43007560220763,0.21726140053122112,-0.505535443921031,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.990142715971124,7.408185085276415,44.60968997387911,0.1772546490946909,0.04087281101869341,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.229771060979695,7.675359319271052,46.46873304037036,0.1158262957243168,0.31669443311650347,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.3509203681324164,8.048374644565548,46.837803490213524,0.025391111923280918,-0.007384291508054496,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.4545393184224675,8.105945185635736,47.96347850678967,0.01158239426062957,0.15605251531335923,timemixer,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,4.399266900308683,6.577465029641022,40.37092330867344,0.3512124194973837,-0.5328244730419451,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.928698399798449,7.306627343069744,44.26907448261477,0.19965782331653625,-0.009648637660638951,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.250986098960358,7.632223725833186,46.86248127332087,0.12573649903224227,0.4242751993235559,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.4073723667965075,8.012773893845212,47.442951936591136,0.0339941085776152,0.2846435733941471,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.492450999324806,8.082545071298657,48.42991834538669,0.017280853877571944,0.26354253769351843,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,4.362636603295833,6.553758993046284,39.99014913561971,0.3558806209918425,-0.6122161658282724,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.852718085841149,7.295466789708148,43.56969974352184,0.20210093128745066,-0.39351661267655524,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.087299116368174,7.588500212635285,45.3693098841035,0.13572477475118083,-0.1832826380196464,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.318901490753285,8.042209543828537,46.51715648358265,0.02688365195604836,-0.2210449505307664,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,2021-01-01 00:00:00+00:00,gated_residual_v2
