gap_id,start,end,hours,gap_class,inserted_rows
581,2020-10-16 01:00:00+00:00,2020-12-24 00:00:00+00:00,1656,very_long_gt_7d,0
657,2021-12-21 09:00:00+00:00,2022-01-24 13:00:00+00:00,821,very_long_gt_7d,0
645,2021-09-05 11:00:00+00:00,2021-09-24 10:00:00+00:00,456,very_long_gt_7d,0
639,2021-07-10 19:00:00+00:00,2021-07-21 07:00:00+00:00,253,very_long_gt_7d,0
661,2022-02-02 11:00:00+00:00,2022-02-10 15:00:00+00:00,197,very_long_gt_7d,0
375,2019-07-29 10:00:00+00:00,2019-08-06 12:00:00+00:00,195,very_long_gt_7d,0
183,2018-07-17 10:00:00+00:00,2018-07-24 13:00:00+00:00,172,very_long_gt_7d,0
669,2022-02-25 22:00:00+00:00,2022-03-04 10:00:00+00:00,157,long_25_168h,0
167,2018-05-18 12:00:00+00:00,2018-05-24 09:00:00+00:00,142,long_25_168h,0
107,2017-11-10 14:00:00+00:00,2017-11-15 21:00:00+00:00,128,long_25_168h,0
357,2019-06-30 12:00:00+00:00,2019-07-05 13:00:00+00:00,122,long_25_168h,0
173,2018-06-17 23:00:00+00:00,2018-06-22 21:00:00+00:00,119,long_25_168h,0
723,2022-11-14 09:00:00+00:00,2022-11-18 15:00:00+00:00,103,long_25_168h,0
303,2019-05-09 11:00:00+00:00,2019-05-13 09:00:00+00:00,95,long_25_168h,0
757,2023-04-21 08:00:00+00:00,2023-04-24 16:00:00+00:00,81,long_25_168h,0
775,2023-07-24 08:00:00+00:00,2023-07-27 15:00:00+00:00,80,long_25_168h,0
795,2023-10-02 11:00:00+00:00,2023-10-05 18:00:00+00:00,80,long_25_168h,0
985,2025-01-28 07:00:00+00:00,2025-01-31 14:00:00+00:00,80,long_25_168h,0
837,2024-01-26 12:00:00+00:00,2024-01-29 18:00:00+00:00,79,long_25_168h,0
737,2023-01-17 11:00:00+00:00,2023-01-20 16:00:00+00:00,78,long_25_168h,0
61,2016-11-25 18:00:00+00:00,2016-11-28 22:00:00+00:00,77,long_25_168h,0
129,2018-01-16 12:00:00+00:00,2018-01-19 15:00:00+00:00,76,long_25_168h,0
905,2024-08-13 12:00:00+00:00,2024-08-16 15:00:00+00:00,76,long_25_168h,0
1057,2025-07-15 08:00:00+00:00,2025-07-18 11:00:00+00:00,76,long_25_168h,0
691,2022-07-18 07:00:00+00:00,2022-07-21 09:00:00+00:00,75,long_25_168h,0
681,2022-05-20 14:00:00+00:00,2022-05-23 13:00:00+00:00,72,long_25_168h,0
879,2024-05-28 13:00:00+00:00,2024-05-31 12:00:00+00:00,72,long_25_168h,0
95,2017-07-30 16:00:00+00:00,2017-08-02 11:00:00+00:00,68,long_25_168h,0
111,2017-12-03 23:00:00+00:00,2017-12-06 17:00:00+00:00,67,long_25_168h,0
747,2023-03-11 02:00:00+00:00,2023-03-13 13:00:00+00:00,60,long_25_168h,0
241,2019-02-01 04:00:00+00:00,2019-02-03 12:00:00+00:00,57,long_25_168h,0
941,2024-11-13 06:00:00+00:00,2024-11-15 14:00:00+00:00,57,long_25_168h,0
35,2016-07-27 10:00:00+00:00,2016-07-29 17:00:00+00:00,56,long_25_168h,0
637,2021-06-17 20:00:00+00:00,2021-06-20 03:00:00+00:00,56,long_25_168h,0
161,2018-05-06 11:00:00+00:00,2018-05-08 17:00:00+00:00,55,long_25_168h,0
579,2020-10-05 10:00:00+00:00,2020-10-07 15:00:00+00:00,54,long_25_168h,0
453,2020-01-27 11:00:00+00:00,2020-01-29 14:00:00+00:00,52,long_25_168h,0
575,2020-07-28 12:00:00+00:00,2020-07-30 15:00:00+00:00,52,long_25_168h,0
