station_id,model,horizon,MAE_available_history,RMSE_available_history,sMAPE_available_history,R2_available_history,Bias_available_history,MAE_common_2021,RMSE_common_2021,sMAPE_common_2021,R2_common_2021,Bias_common_2021,MAE_delta_common_minus_available,RMSE_delta_common_minus_available,sMAPE_delta_common_minus_available,R2_delta_common_minus_available,Bias_delta_common_minus_available
BIR_A4540,hybrid,1,1.694732663295521,2.861921512820612,22.00851549212651,0.8330010611097075,0.123370975166083,1.677970234758582,2.842463288375394,21.51772720460761,0.8361422257810471,0.18937207767144015,-0.01676242853693899,-0.01945822444521772,-0.4907882875188996,0.0031411646713396246,0.06600110250535715
BIR_A4540,hybrid,6,3.8098978214036414,5.967731969066416,44.54817714249775,0.2787981248992633,-0.9389413191013075,3.7820448052291247,5.882616286573688,44.44986184079697,0.2985247534214512,-0.7908371658497664,-0.027853016174516743,-0.08511568249272816,-0.0983153017007794,0.019726628522187872,0.14810415325154114
BIR_A4540,hybrid,12,4.092485868075144,6.389769337384088,47.25001820467016,0.17316319304896552,-1.0239690164459228,4.093686563927298,6.4049385529163345,47.192584940979934,0.16929533866078766,-0.983677427850769,0.0012006958521535438,0.015169215532246483,-0.05743326369022839,-0.003867854388177855,0.040291588595153804
BIR_A4540,hybrid,24,4.241533750160326,6.66652843106786,48.73782396733166,0.09997696377519352,-1.261676615540615,4.260697078073556,6.703475056832045,48.844671536072816,0.0901214270449586,-1.2024609322803408,0.019163327913229722,0.03694662576418484,0.1068475687411592,-0.009855536730234926,0.059215683260274155
BIR_A4540,hybrid,48,4.321385128537814,6.834212392180651,49.757621592075864,0.055260855780727355,-1.4048113915846716,4.344675244530556,6.8655386464144,49.943070382617854,0.046676890231762955,-1.3954299960411114,0.02329011599274189,0.03132625423374957,0.18544879054199015,-0.0085839655489644,0.009381395543560211
CHB,hybrid,1,1.7072096349674577,2.8733281221297977,26.449241672614143,0.7920504309644842,0.06085203013870255,1.7075310803783954,2.833785305682853,26.69043354196708,0.7972617094914437,0.1788674729168113,0.00032144541093770407,-0.039542816446944684,0.24119186935293868,0.005211278526959462,0.11801544277810874
CHB,hybrid,6,3.3124066281123823,5.2359385363969055,45.578113575598515,0.31009050260019133,-0.43231796443178955,3.4148335510833783,5.310627398490612,46.88800665081353,0.2901174408133456,-0.2669603990671584,0.10242692297099598,0.07468886209370673,1.3098930752150153,-0.019973061786845714,0.16535756536463114
CHB,hybrid,12,3.519905350584577,5.550266203741351,47.9167796291196,0.22474685639958586,-0.4483977434379903,3.561698348354443,5.528205392542161,48.71289092111976,0.23075734527021474,-0.38061966215962506,0.04179299776986589,-0.022060811199189345,0.7961112920001554,0.006010488870628883,0.06777808127836527
CHB,hybrid,24,3.7265971429289864,5.842350614023421,50.587201231384384,0.14107159680195913,-0.6322262409206927,3.688605711281043,5.739508865202517,50.493241488603736,0.17102850453414656,-0.5141441018616867,-0.0379914316479435,-0.10284174882090458,-0.09395974278064756,0.029956907732187427,0.118082139059006
CHB,hybrid,48,3.9069892245079094,6.16584398079253,52.24723283389538,0.0424891210305969,-0.5308543753599608,3.7303848261265875,5.8267746238024944,51.377136834991504,0.1466516320995642,-0.7079336016308179,-0.17660439838132191,-0.33906935699003515,-0.8700959989038779,0.10416251106896729,-0.17707922627085704
HP1,hybrid,1,1.4856423228128548,2.6638431036774826,21.01508196103961,0.8364837174998867,0.35560585000312334,1.4888916102048462,2.599276903531416,21.955575723602642,0.8442709469861513,0.073480784906975,0.0032492873919913734,-0.06456620014606651,0.9404937625630332,0.007787229486264646,-0.2821250650961483
HP1,hybrid,6,3.493750634854572,5.680987319779064,45.36629684512582,0.2516961032673994,-0.47371224958725533,3.442584426546464,5.614685327900085,45.06497704637945,0.2695224326085278,-0.7007679242929525,-0.05116620830810792,-0.06630199187897912,-0.3013197987463698,0.017826329341128433,-0.2270556747056972
HP1,hybrid,12,3.7553370974243294,6.1880505375073875,47.92807699583737,0.09999371944123465,-0.6362636016601471,3.5654096356142366,5.820216817032206,46.716399890371214,0.20412770896141338,-0.6925450064950243,-0.1899274618100928,-0.3678337204751818,-1.2116771054661584,0.10413398952017873,-0.0562814048348772
HP1,hybrid,24,3.945420349443711,6.511583292821331,50.02298098618018,-0.01902999856102368,-0.5836660080564396,3.7222108115609096,6.051105833724717,48.50997926301992,0.12035396553272219,-0.5449420914887546,-0.22320953788280118,-0.4604774590966132,-1.513001723160258,0.13938396409374587,0.038723916567685035
HP1,hybrid,48,3.99275874893204,6.632489508979573,51.19645011711664,-0.08705589353686184,-0.6311990324217618,3.691879915186546,6.115253198175889,48.90749288002221,0.07639377797968869,-0.7480235115443066,-0.3008788337454944,-0.5172363108036837,-2.2889572370944293,0.16344967151655054,-0.11682447912254479
KC1,hybrid,1,1.6407256962267271,2.96800743397639,20.469212121259556,0.8492262233614618,0.3628321491881747,1.7081297614449653,2.9801584258189266,22.689630975660606,0.8475430792768229,0.09302904072314218,0.06740406521823816,0.012150991842536651,2.22041885440105,-0.0016831440846388768,-0.2698031084650325
KC1,hybrid,6,3.5165909285510963,5.649510618569087,42.762588527127676,0.454722121805953,-0.5240757479658661,3.936241969107452,6.4124457220000295,45.88789600850346,0.29669804166074065,-0.9553951982437956,0.4196510405563556,0.7629351034309426,3.125307481375785,-0.15802408014521235,-0.4313194502779295
KC1,hybrid,12,4.048433957514845,6.644954752063586,47.43841593654538,0.24412900823969025,-0.9015172160049119,4.1911699799358475,6.808109105691898,48.60861269116814,0.20659905302029208,-0.9616142302592872,0.14273602242100214,0.163154353628312,1.1701967546227579,-0.03752995521939817,-0.0600970142543753
KC1,hybrid,24,4.291001833288508,6.997865377403936,49.60327688665014,0.16085865017902556,-0.8939070192844382,4.352084996648124,7.084221774015154,50.098392578472236,0.1399525619908365,-1.0037878015779602,0.06108316335961561,0.08635639661121797,0.49511569182209314,-0.020906088188189065,-0.10988078229352205
KC1,hybrid,48,4.392910566803797,7.234638652349185,50.66695465969961,0.1043413433465021,-1.0109309658880457,4.404077631963711,7.253111426257414,50.74532492842248,0.09973521525292162,-1.0626734019574642,0.011167065159913392,0.0184727739082291,0.07837026872286401,-0.004606128093580478,-0.05174243606941853
