horizon,correction_gate_alpha,station_id,seed
1,0.75,MY1,0
6,0.25,MY1,0
12,0.0,MY1,0
24,0.0,MY1,0
48,0.0,MY1,0
1,0.75,MY1,1
6,0.5,MY1,1
12,0.0,MY1,1
24,0.5,MY1,1
48,0.5,MY1,1
1,0.75,MY1,2
6,0.25,MY1,2
12,0.0,MY1,2
24,0.25,MY1,2
48,0.0,MY1,2
1,0.75,MY1,3
6,0.0,MY1,3
12,0.1,MY1,3
24,0.25,MY1,3
48,0.0,MY1,3
1,0.5,MY1,4
6,0.25,MY1,4
12,0.25,MY1,4
24,0.0,MY1,4
48,0.1,MY1,4
1,1.0,BIR_A4540,0
6,0.0,BIR_A4540,0
12,0.0,BIR_A4540,0
24,0.0,BIR_A4540,0
48,0.0,BIR_A4540,0
1,1.0,BIR_A4540,1
6,0.1,BIR_A4540,1
12,0.0,BIR_A4540,1
24,0.0,BIR_A4540,1
48,0.0,BIR_A4540,1
1,1.0,BIR_A4540,2
6,0.0,BIR_A4540,2
12,0.0,BIR_A4540,2
24,0.0,BIR_A4540,2
48,0.0,BIR_A4540,2
1,1.0,BIR_A4540,3
6,0.1,BIR_A4540,3
12,0.0,BIR_A4540,3
24,0.0,BIR_A4540,3
48,0.0,BIR_A4540,3
1,0.75,BIR_A4540,4
6,0.25,BIR_A4540,4
12,0.0,BIR_A4540,4
24,0.0,BIR_A4540,4
48,0.0,BIR_A4540,4
1,1.0,HP1,0
6,0.1,HP1,0
12,0.0,HP1,0
24,0.0,HP1,0
48,0.0,HP1,0
1,1.0,HP1,1
6,0.0,HP1,1
12,0.0,HP1,1
24,0.0,HP1,1
48,0.0,HP1,1
1,1.0,HP1,2
6,0.0,HP1,2
12,0.0,HP1,2
24,0.0,HP1,2
48,0.0,HP1,2
1,1.0,HP1,3
6,0.0,HP1,3
12,0.0,HP1,3
24,0.0,HP1,3
48,0.0,HP1,3
1,1.0,HP1,4
6,0.1,HP1,4
12,0.0,HP1,4
24,0.1,HP1,4
48,0.0,HP1,4
1,1.0,CHB,0
6,0.1,CHB,0
12,0.0,CHB,0
24,0.0,CHB,0
48,0.0,CHB,0
1,1.0,CHB,1
6,0.1,CHB,1
12,0.0,CHB,1
24,0.0,CHB,1
48,0.0,CHB,1
1,1.0,CHB,2
6,0.1,CHB,2
12,0.1,CHB,2
24,0.1,CHB,2
48,0.0,CHB,2
1,1.0,CHB,3
6,0.0,CHB,3
12,0.0,CHB,3
24,0.25,CHB,3
48,0.0,CHB,3
1,1.0,CHB,4
6,0.0,CHB,4
12,0.0,CHB,4
24,0.1,CHB,4
48,0.0,CHB,4
1,1.0,KC1,0
6,0.25,KC1,0
12,0.0,KC1,0
24,0.0,KC1,0
48,0.0,KC1,0
1,1.0,KC1,1
6,0.25,KC1,1
12,0.0,KC1,1
24,0.0,KC1,1
48,0.0,KC1,1
1,1.0,KC1,2
6,0.5,KC1,2
12,0.0,KC1,2
24,0.0,KC1,2
48,0.0,KC1,2
1,1.0,KC1,3
6,0.25,KC1,3
12,0.0,KC1,3
24,0.0,KC1,3
48,0.0,KC1,3
1,1.0,KC1,4
6,0.5,KC1,4
12,0.0,KC1,4
24,0.0,KC1,4
48,0.0,KC1,4
