horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start,method_version
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
1,11065,2.78978227382594,3.985192568663154,29.118408849722805,0.7618316456650464,-0.023820325138339402,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
6,11065,4.175328214964175,5.905806780118755,39.61942884805419,0.47712213561688654,0.2518029387887118,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
12,11065,4.855768077186584,6.920174684948775,44.04429592652785,0.28125592503965213,0.5971330651076627,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
24,11065,5.196133042413403,7.4416600465727,45.98369103677041,0.16679157579213388,0.6285244300443018,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
48,11065,5.675339355888379,8.42628119111107,48.71961924466407,-0.06808309844056826,0.4652454279231853,xgboost,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
1,11065,2.9180684012495117,4.213204364340492,31.007998898969664,0.7337985093833503,0.012025245430240037,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
6,11065,4.243011106151399,5.961670644829033,40.29393091577473,0.46718339903639183,0.09806667593502642,dlinear,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history,gated_residual_v2
