Date,Time,PM2.5,Status
2021-01-01,01:00:00,36.816,V ugm-3 (Ref.eq)
2021-01-01,02:00:00,27.642,V ugm-3 (Ref.eq)
2021-01-01,03:00:00,22.689,V ugm-3 (Ref.eq)
2021-01-01,04:00:00,22.123,V ugm-3 (Ref.eq)
2021-01-01,05:00:00,18.326,V ugm-3 (Ref.eq)
2021-01-01,06:00:00,21.109,V ugm-3 (Ref.eq)
2021-01-01,07:00:00,22.311,V ugm-3 (Ref.eq)
2021-01-01,08:00:00,20.519,V ugm-3 (Ref.eq)
2021-01-01,09:00:00,21.014,V ugm-3 (Ref.eq)
2021-01-01,10:00:00,19.953,V ugm-3 (Ref.eq)
2021-01-01,11:00:00,18.726,V ugm-3 (Ref.eq)
2021-01-01,12:00:00,15.613,V ugm-3 (Ref.eq)
2021-01-01,13:00:00,11.627,V ugm-3 (Ref.eq)
2021-01-01,14:00:00,6.627,V ugm-3 (Ref.eq)
2021-01-01,15:00:00,5.613,V ugm-3 (Ref.eq)
2021-01-01,16:00:00,5.024,V ugm-3 (Ref.eq)
2021-01-01,17:00:00,5.33,V ugm-3 (Ref.eq)
2021-01-01,18:00:00,6.344,V ugm-3 (Ref.eq)
2021-01-01,19:00:00,7.712,V ugm-3 (Ref.eq)
2021-01-01,20:00:00,7.571,V ugm-3 (Ref.eq)
2021-01-01,21:00:00,7.17,V ugm-3 (Ref.eq)
2021-01-01,22:00:00,6.156,V ugm-3 (Ref.eq)
2021-01-01,23:00:00,5.92,V ugm-3 (Ref.eq)
2021-01-01,24:00:00,6.226,V ugm-3 (Ref.eq)
2021-01-02,01:00:00,5.731,V ugm-3 (Ref.eq)
2021-01-02,02:00:00,5.165,V ugm-3 (Ref.eq)
2021-01-02,03:00:00,5.542,V ugm-3 (Ref.eq)
2021-01-02,04:00:00,6.109,V ugm-3 (Ref.eq)
2021-01-02,05:00:00,5.542,V ugm-3 (Ref.eq)
2021-01-02,06:00:00,4.811,V ugm-3 (Ref.eq)
2021-01-02,07:00:00,5.142,V ugm-3 (Ref.eq)
2021-01-02,08:00:00,4.693,V ugm-3 (Ref.eq)
2021-01-02,09:00:00,5.425,V ugm-3 (Ref.eq)
2021-01-02,10:00:00,5.873,V ugm-3 (Ref.eq)
2021-01-02,11:00:00,4.693,V ugm-3 (Ref.eq)
2021-01-02,12:00:00,4.788,V ugm-3 (Ref.eq)
2021-01-02,13:00:00,5.283,V ugm-3 (Ref.eq)
2021-01-02,14:00:00,8.184,V ugm-3 (Ref.eq)
2021-01-02,15:00:00,7.854,V ugm-3 (Ref.eq)
2021-01-02,16:00:00,10.519,V ugm-3 (Ref.eq)
2021-01-02,17:00:00,12.406,V ugm-3 (Ref.eq)
2021-01-02,18:00:00,16.462,V ugm-3 (Ref.eq)
