Date,Time,PM2.5,Status
2016-01-01,01:00:00,20.4,V ugm-3 (TEOM FDMS)
2016-01-01,02:00:00,41.3,V ugm-3 (TEOM FDMS)
2016-01-01,03:00:00,31.9,V ugm-3 (TEOM FDMS)
2016-01-01,04:00:00,19.5,V ugm-3 (TEOM FDMS)
2016-01-01,05:00:00,16.1,V ugm-3 (TEOM FDMS)
2016-01-01,06:00:00,11.0,V ugm-3 (TEOM FDMS)
2016-01-01,07:00:00,9.4,V ugm-3 (TEOM FDMS)
2016-01-01,08:00:00,14.1,V ugm-3 (TEOM FDMS)
2016-01-01,09:00:00,9.5,V ugm-3 (TEOM FDMS)
2016-01-01,10:00:00,5.8,V ugm-3 (TEOM FDMS)
2016-01-01,11:00:00,7.7,V ugm-3 (TEOM FDMS)
2016-01-01,12:00:00,7.3,V ugm-3 (TEOM FDMS)
2016-01-01,13:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-01,14:00:00,8.6,V ugm-3 (TEOM FDMS)
2016-01-01,15:00:00,7.8,V ugm-3 (TEOM FDMS)
2016-01-01,16:00:00,5.7,V ugm-3 (TEOM FDMS)
2016-01-01,17:00:00,6.8,V ugm-3 (TEOM FDMS)
2016-01-01,18:00:00,9.9,V ugm-3 (TEOM FDMS)
2016-01-01,19:00:00,7.8,V ugm-3 (TEOM FDMS)
2016-01-01,20:00:00,8.2,V ugm-3 (TEOM FDMS)
2016-01-01,21:00:00,6.3,V ugm-3 (TEOM FDMS)
2016-01-01,22:00:00,8.3,V ugm-3 (TEOM FDMS)
2016-01-01,23:00:00,5.3,V ugm-3 (TEOM FDMS)
2016-01-01,24:00:00,4.1,V ugm-3 (TEOM FDMS)
2016-01-02,01:00:00,5.9,V ugm-3 (TEOM FDMS)
2016-01-02,02:00:00,5.5,V ugm-3 (TEOM FDMS)
2016-01-02,03:00:00,5.2,V ugm-3 (TEOM FDMS)
2016-01-02,04:00:00,6.8,V ugm-3 (TEOM FDMS)
2016-01-02,05:00:00,4.1,V ugm-3 (TEOM FDMS)
