station_id,site_type,horizon,best_comparator,comparator_mae,hybrid_mae,mae_delta,mae_gap_percent_vs_best,hybrid_wins
BIR_A4540,Urban Traffic,1,persistence,1.162,1.695,0.533,45.9,0
BIR_A4540,Urban Traffic,6,lstm,3.02,3.81,0.79,26.16,0
BIR_A4540,Urban Traffic,12,lstm,3.607,4.092,0.485,13.45,0
BIR_A4540,Urban Traffic,24,lstm,4.0,4.242,0.242,6.05,0
BIR_A4540,Urban Traffic,48,lstm,4.259,4.321,0.063,1.48,0
CHB,Rural Background,1,xgboost,0.98,1.707,0.728,74.26,0
CHB,Rural Background,6,dlinear,2.616,3.312,0.697,26.63,0
CHB,Rural Background,12,dlinear,3.114,3.52,0.405,13.02,0
CHB,Rural Background,24,lstm,3.479,3.727,0.248,7.13,0
CHB,Rural Background,48,lstm,3.727,3.907,0.18,4.82,0
HP1,Urban Background,1,xgboost,0.819,1.486,0.666,81.35,0
HP1,Urban Background,6,lstm,2.546,3.494,0.948,37.24,0
HP1,Urban Background,12,lstm,3.061,3.755,0.694,22.67,0
HP1,Urban Background,24,lstm,3.475,3.945,0.47,13.53,0
HP1,Urban Background,48,lstm,3.714,3.993,0.278,7.49,0
KC1,Urban Background,1,xgboost,0.911,1.641,0.729,80.04,0
KC1,Urban Background,6,lstm,2.793,3.517,0.724,25.92,0
KC1,Urban Background,12,lstm,3.457,4.048,0.591,17.09,0
KC1,Urban Background,24,lstm,3.981,4.291,0.31,7.79,0
KC1,Urban Background,48,lstm,4.25,4.393,0.143,3.36,0
MY1,Urban Traffic,1,xgboost,2.791,3.823,1.032,36.96,0
MY1,Urban Traffic,6,lstm,4.096,4.733,0.637,15.55,0
MY1,Urban Traffic,12,lstm,4.529,4.958,0.429,9.46,0
MY1,Urban Traffic,24,lstm,4.862,5.116,0.254,5.22,0
MY1,Urban Traffic,48,lstm,5.15,5.183,0.033,0.65,0
