,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,1,1.1728856259090856,0.010746432774865486,2.1388997184731062,0.0054682309646144085,15.703600510055377,0.24218475291745764,0.9073600944708519,0.0004736788136541072
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,6,3.036804973794504,0.04409885862079789,4.717839967066031,0.036940595333159985,37.1797061542931,0.6514576037142553,0.5492805316345459,0.0070946134299347445
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,12,3.629917546545613,0.021963999123755327,5.576788272602116,0.026549738114868576,43.02532351990219,0.2605359297206723,0.3703118010581462,0.006000367236499215
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,24,4.0169448953579545,0.015465758785651871,6.186184340228276,0.006161411644871733,46.476227208254265,0.2543829474037589,0.22522082164262952,0.0015432319552218688
BIR_A4540,Birmingham A4540,Urban Traffic,dlinear,48,4.3415522918802765,0.029836208439398895,6.694153616126333,0.027388714112469483,50.46962225274562,0.4767493468355607,0.09374135152999921,0.00741292742179325
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,1,3.178952333831075,0.15846172703823994,4.551479606821324,0.23848598590403217,40.91702660863082,1.1978767815954172,0.5795900125492135,0.04426416947707796
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,6,4.152955378782002,0.2782181234625189,6.111258998967787,0.3181721918710356,48.18924028309472,1.8978715489710813,0.24211952182406354,0.07873007717919463
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,12,4.800679166223655,0.20549148848715748,6.867028838287706,0.2288096670680797,54.11947184151207,1.721979546953094,0.044407638115336504,0.06450370354434393
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,24,4.766899072516226,0.1596515422427852,6.953718879668417,0.22589938724060515,54.201143693399885,1.3324501846479742,0.020210792812002176,0.06313292084241431
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid,48,5.04009559970269,0.20282945768454197,7.12546926466035,0.24633115445162088,57.078882407105255,1.6121569004897467,-0.027772447422806247,0.07158786459691478
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,1,3.2864675827971537,0.2259728308641048,4.693016603744162,0.32007709473224094,41.68821226505693,1.4024257741841875,0.5523564727887444,0.06118435063709507
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,6,4.341659446228161,0.4174197265500845,6.224859089626804,0.4402010543172022,49.632030314958115,2.8265367789056883,0.21224410720822337,0.111711055748875
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,12,5.192357670627038,0.4209928506997006,7.104474380656553,0.28899431288651395,57.19857737478917,3.247239467798388,-0.023264216723115183,0.08318641424020275
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,24,5.044780542298048,0.19043731197327832,7.080147952533049,0.28945147278704464,56.56070223533684,1.520781081535536,-0.016241312149205676,0.08221666789549707
BIR_A4540,Birmingham A4540,Urban Traffic,hybrid_static,48,5.611353033209011,0.2814636964093581,7.489492284721284,0.269310763329813,61.95112446800549,2.2366790285602054,-0.13555653612746701,0.08024548213558017
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,1,1.4250010993688327,0.03618910239542317,2.4248195340942695,0.04036464973919427,19.29959704553686,0.5764361911737137,0.8809114258870512,0.003954719486325558
BIR_A4540,Birmingham A4540,Urban Traffic,lstm,6,3.0331370128935777,0.055971361163257835,4.812440645761769,0.05153125675843407,36.72870878010974,0.5251038062335519,0.531003918532589,0.010017997979945181
